时间,基准收益,策略收益,当日盈利,当日亏损,当日买入,当日卖出
2009-06-01 16:00:00,3.57,1.76,175781,0,9984385,0
2009-06-02 16:00:00,3.82,1.99,22849,0,0,0
2009-06-03 16:00:00,6.51,4.5,251422,0,0,0
2009-06-04 16:00:00,7.03,3.84,0,-66132,0,0
2009-06-05 16:00:00,6.51,2.68,0,-115682.2,0,0
2009-06-08 16:00:00,6.84,2.94,26215.4,0,9550022,-9518021
2009-06-09 16:00:00,7.28,2.67,0,-27407.8,0,0
2009-06-10 16:00:00,8.33,3.63,96112.8,0,0,0
2009-06-11 16:00:00,7.32,3.53,0,-9825,0,0
2009-06-12 16:00:00,5.31,1.28,0,-225323.6,0,0
2009-06-15 16:00:00,7.48,3.33,205109.6,0,10122591,-10115634.6
2009-06-16 16:00:00,7.3,2.95,0,-37830,0,0
2009-06-17 16:00:00,9.09,5.03,207816,0,0,0
2009-06-18 16:00:00,10.79,6.05,101968,0,0,0
2009-06-19 16:00:00,11.61,6.92,86955,0,0,0
2009-06-22 16:00:00,11.7,7.17,24965.6,0,8604615,-9688395
2009-06-23 16:00:00,11.75,7.2,2616,0,0,0
2009-06-24 16:00:00,13.08,8.6,140690,0,0,0
2009-06-25 16:00:00,12.98,8.36,0,-24290,0,0
2009-06-26 16:00:00,13.36,8.28,0,-8276,0,0
2009-06-29 16:00:00,15.23,10.15,186865.4,0,9788326,-8684162
2009-06-30 16:00:00,14.74,9.07,0,-107655,0,0
2009-07-01 16:00:00,17.33,10.81,173865,0,0,0
2009-07-02 16:00:00,18.94,12.02,120763,0,0,0
2009-07-03 16:00:00,20.56,13.13,111256,0,0,0
2009-07-06 16:00:00,22.29,15.96,283169,0,10219157,-10212727
2009-07-07 16:00:00,21.04,15.82,0,-14099,0,0
2009-07-08 16:00:00,21.47,17,118049,0,0,0
2009-07-09 16:00:00,23.07,19.84,284513.8,0,0,0
2009-07-10 16:00:00,23.14,20.27,42989,0,0,0
2009-07-13 16:00:00,21.79,20.6,32330,0,11188176,-11191045
2009-07-14 16:00:00,25.19,23.36,276376,0,0,0
2009-07-15 16:00:00,26.58,24.46,109571,0,0,0
2009-07-16 16:00:00,26.87,22.57,0,-188357,0,0
2009-07-17 16:00:00,27.54,22.97,39393,0,0,0
2009-07-20 16:00:00,30.13,26.89,391920,0,10286920,-10279303
2009-07-21 16:00:00,28.27,24.66,0,-222838,0,0
2009-07-22 16:00:00,30.7,27.99,332931,0,0,0
2009-07-23 16:00:00,32.33,28.88,89257,0,0,0
2009-07-24 16:00:00,32.9,29.03,15279,0,0,0
2009-07-27 16:00:00,35.65,32.64,360815.6,0,11655107,-11642548
2009-07-28 16:00:00,36.09,35.89,324752,0,0,0
2009-07-29 16:00:00,28.95,28.95,0,-693909,0,0
2009-07-30 16:00:00,31.71,32.08,312541,0,0,0
2009-07-31 16:00:00,35.33,36.12,404025,0,0,0
2009-08-03 16:00:00,37.23,41.53,541951,0,11849286,-11863519
2009-08-04 16:00:00,37.21,43.83,229523,0,0,0
2009-08-05 16:00:00,35.56,41.93,0,-189846,0,0
2009-08-06 16:00:00,32.74,37.46,0,-446762,0,0
2009-08-07 16:00:00,28.82,31.62,0,-584087,0,0
2009-08-10 16:00:00,28.44,33.08,145190,0,11951220,-11939733
2009-08-11 16:00:00,28.87,33.63,55024,0,0,0
2009-08-12 16:00:00,23.11,26.72,0,-690966,0,0
2009-08-13 16:00:00,24.68,27.01,29913,0,0,0
2009-08-14 16:00:00,21.19,22.54,0,-447480,0,0
2009-08-17 16:00:00,13.79,16.98,0,-555501,8437292,-11631026
2009-08-18 16:00:00,14.94,18.31,132841,0,0,0
2009-08-19 16:00:00,9.24,14.23,0,-408031,0,0
2009-08-20 16:00:00,13.94,16.86,262252,0,0,0
2009-08-21 16:00:00,16.09,18.15,129115,0,0,0
2009-08-24 16:00:00,17.03,19.74,159000,0,11794646,-8603960
2009-08-25 16:00:00,12.69,16.16,0,-357692,0,0
2009-08-26 16:00:00,14.95,19.57,340857,0,0,0
2009-08-27 16:00:00,14.37,19.23,0,-33488,0,0
2009-08-28 16:00:00,10.4,15.11,0,-412819,0,0
2009-08-31 16:00:00,2.56,7.27,0,-783089,10532593,-10511809
2009-09-01 16:00:00,3.04,6.27,0,-100073,0,0
2009-09-02 16:00:00,4.75,6.67,39760,0,0,0
2009-09-03 16:00:00,10.59,12.03,535958,0,0,0
2009-09-04 16:00:00,11.5,13.09,106260,0,0,0
2009-09-07 16:00:00,12.48,13.34,24746,0,8721572,-8722202
