Datetime,Benchmark,Strategy,Para1,Para2,Para3,Para4
2009-06-01 16:00:00,3.57,1.3,130230,0,9327467,0
2009-06-02 16:00:00,3.82,1.66,36266,0,0,0
2009-06-03 16:00:00,6.51,2.83,116588,0,0,0
2009-06-04 16:00:00,7.03,2.47,0,-36108,0,0
2009-06-05 16:00:00,6.51,2.4,0,-6581,0,0
2009-06-08 16:00:00,6.84,1.36,0,-104589,8865615,-8191178
2009-06-09 16:00:00,7.28,1.47,11484,0,0,0
2009-06-10 16:00:00,8.33,3.42,194604,0,0,0
2009-06-11 16:00:00,7.32,2.05,0,-136468,0,0
2009-06-12 16:00:00,5.31,0.26,0,-179158.64,0,0
2009-06-15 16:00:00,7.48,0.39,12325,0,8994392,-9323365
2009-06-16 16:00:00,7.3,1.02,63434,0,0,0
2009-06-17 16:00:00,9.09,2.82,179943,0,0,0
2009-06-18 16:00:00,10.79,3.73,91042,0,0,0
2009-06-19 16:00:00,11.61,4.09,35605,0,0,0
2009-06-22 16:00:00,11.7,3.16,0,-92255,7361372,-7025955
2009-06-23 16:00:00,11.75,2.86,0,-30244.4,0,0
2009-06-24 16:00:00,13.08,5.43,257186.2,0,0,0
2009-06-25 16:00:00,12.98,4.68,0,-74859.92,0,0
2009-06-26 16:00:00,13.36,4.62,0,-6777,0,0
2009-06-29 16:00:00,15.23,5.4,77877,0,9096588,-9425697
2009-06-30 16:00:00,14.74,4.14,0,-125129,0,0
2009-07-01 16:00:00,17.33,5.96,181843,0,0,0
2009-07-02 16:00:00,18.94,6.9,93980,0,0,0
2009-07-03 16:00:00,20.56,7.58,67852,0,0,0
2009-07-06 16:00:00,22.29,6.5,0,-108166,9718157,-9720440
2009-07-07 16:00:00,21.04,4.77,0,-172747,0,0
2009-07-08 16:00:00,21.47,6.02,125165,0,0,0
2009-07-09 16:00:00,23.07,7.1,108137,0,0,0
2009-07-10 16:00:00,23.14,8.33,122034,0,0,0
2009-07-13 16:00:00,21.79,7.53,0,-79128,9028958,-8714260
2009-07-14 16:00:00,25.19,9.69,215774.1,0,0,0
2009-07-15 16:00:00,26.58,12.18,248422,0,0,0
2009-07-16 16:00:00,26.87,11.58,0,-59878.3,0,0
2009-07-17 16:00:00,27.54,12.97,139146.4,0,0,0
2009-07-20 16:00:00,30.13,14.55,157849.7,0,10206491,-10569174.3
2009-07-21 16:00:00,28.27,12.28,0,-226349,0,0
2009-07-22 16:00:00,30.7,14.19,190980,0,0,0
2009-07-23 16:00:00,32.33,15.04,84754,0,0,0
2009-07-24 16:00:00,32.9,14.88,0,-16095,0,0
2009-07-27 16:00:00,35.65,15.87,98668,0,10716351,-10297907
2009-07-28 16:00:00,36.09,15.89,2503,0,0,0
2009-07-29 16:00:00,28.95,9.67,0,-621945,0,0
2009-07-30 16:00:00,31.71,10.64,96602,0,0,0
2009-07-31 16:00:00,35.33,13.66,302335,0,0,0
2009-08-03 16:00:00,37.23,15.64,197415,0,9896995,-9953227
2009-08-04 16:00:00,37.21,15.54,0,-9111,0,0
2009-08-05 16:00:00,35.56,14.82,0,-72682.6,0,0
2009-08-06 16:00:00,32.74,12.89,0,-192831,0,0
2009-08-07 16:00:00,28.82,9.23,0,-365710.36,0,0
2009-08-10 16:00:00,28.44,9.37,13650,0,9961959,-10272672
2009-08-11 16:00:00,28.87,10.1,73327,0,0,0
2009-08-12 16:00:00,23.11,5.66,0,-444361,0,0
2009-08-13 16:00:00,24.68,5.56,0,-10092,0,0
2009-08-14 16:00:00,21.19,1.69,0,-387044,0,0
2009-08-17 16:00:00,13.79,-5.93,0,-761497,8035202,-7661222
2009-08-18 16:00:00,14.94,-3.72,221271,0,0,0
2009-08-19 16:00:00,9.24,-9.86,0,-614493,0,0
2009-08-20 16:00:00,13.94,-5.95,390560,0,0,0
2009-08-21 16:00:00,16.09,-3.16,279128,0,0,0
2009-08-24 16:00:00,17.03,-1.9,126604,0,9426786,-9429576
2009-08-25 16:00:00,12.69,-4.21,0,-231036,0,0
2009-08-26 16:00:00,14.95,-2.26,194386,0,0,0
2009-08-27 16:00:00,14.37,-2.37,0,-10587,0,0
2009-08-28 16:00:00,10.4,-5.35,0,-298034,0,0
2009-08-31 16:00:00,2.56,-13.22,0,-787154,8699915,-9007985
2009-09-01 16:00:00,3.04,-13.08,14364,0,0,0
2009-09-02 16:00:00,4.75,-12.14,93551,0,0,0
2009-09-03 16:00:00,10.59,-6.84,530408,0,0,0
2009-09-04 16:00:00,11.5,-5.49,134483,0,0,0
2009-09-07 16:00:00,12.48,-5.21,28154,0,7929363,-7622836
2009-09-08 16:00:00,14.9,-3.03,217716,0,0,0
2009-09-09 16:00:00,15.77,-1.61,142243,0,0,0
2009-09-10 16:00:00,14.61,-3.21,0,-160200,0,0
