时间,基准收益,策略收益,当日盈利,当日亏损,当日买入,当日卖出
2009-06-01 16:00:00,3.57,0.78,78040,0,8978963,0
2009-06-02 16:00:00,3.82,1.54,75826.6,0,0,0
2009-06-03 16:00:00,6.51,3.06,152479.2,0,0,0
2009-06-04 16:00:00,7.03,2.43,0,-63635,0,0
2009-06-05 16:00:00,6.51,2.26,0,-16897.6,0,0
2009-06-08 16:00:00,6.84,1.04,0,-121924.8,8167097,-7141549.2
2009-06-09 16:00:00,7.28,1.14,10085,0,0,0
2009-06-10 16:00:00,8.33,2.55,140830,0,0,0
2009-06-11 16:00:00,7.32,1,0,-154903,0,0
2009-06-12 16:00:00,5.31,-0.73,0,-173066,0,0
2009-06-15 16:00:00,7.48,0.05,77946,0,8961211,-8957422
2009-06-16 16:00:00,7.3,0.4,34956,0,0,0
2009-06-17 16:00:00,9.09,1.64,124282,0,0,0
2009-06-18 16:00:00,10.79,2.18,54183,0,0,0
2009-06-19 16:00:00,11.61,2.65,46814,0,0,0
2009-06-22 16:00:00,11.7,1.42,0,-123246.72,9955267,-9982236
2009-06-23 16:00:00,11.75,0.8,0,-62186,0,0
2009-06-24 16:00:00,13.08,3.52,272499.12,0,0,0
2009-06-25 16:00:00,12.98,2.39,0,-113453.4,0,0
2009-06-26 16:00:00,13.36,2.49,10352.2,0,0,0
2009-06-29 16:00:00,15.23,3.14,65103.2,0,8576762,-8542279
2009-06-30 16:00:00,14.74,3.02,0,-12359,0,0
2009-07-01 16:00:00,17.33,3.66,64465,0,0,0
2009-07-02 16:00:00,18.94,4.88,121481.5,0,0,0
2009-07-03 16:00:00,20.56,5.45,57458,0,0,0
2009-07-06 16:00:00,22.29,4.82,0,-63089.5,8797166,-8840963
2009-07-07 16:00:00,21.04,5.13,31147,0,0,0
2009-07-08 16:00:00,21.47,6.29,115689.4,0,0,0
2009-07-09 16:00:00,23.07,8.74,245299,0,0,0
2009-07-10 16:00:00,23.14,8.81,6615,0,0,0
2009-07-13 16:00:00,21.79,7.34,0,-146321,9338298,-9284418
2009-07-14 16:00:00,25.19,10.6,325264,0,0,0
2009-07-15 16:00:00,26.58,13.96,335775.8,0,0,0
2009-07-16 16:00:00,26.87,13.26,0,-69839,0,0
2009-07-17 16:00:00,27.54,13.61,35150,0,0,0
2009-07-20 16:00:00,30.13,15.09,148005,0,8513442,-8901371
2009-07-21 16:00:00,28.27,13.77,0,-131880,0,0
2009-07-22 16:00:00,30.7,15.43,166378,0,0,0
2009-07-23 16:00:00,32.33,17.49,205860,0,0,0
2009-07-24 16:00:00,32.9,16.88,0,-61033,0,0
2009-07-27 16:00:00,35.65,17.01,13229,0,9371511,-8996057
2009-07-28 16:00:00,36.09,18.71,169528,0,0,0
2009-07-29 16:00:00,28.95,12.41,0,-629908,0,0
2009-07-30 16:00:00,31.71,13.93,151803,0,0,0
2009-07-31 16:00:00,35.33,16.8,286870,0,0,0
2009-08-03 16:00:00,37.23,16.98,17889,0,9412730,-9800869
2009-08-04 16:00:00,37.21,18.38,140078,0,0,0
2009-08-05 16:00:00,35.56,17.16,0,-121467,0,0
2009-08-06 16:00:00,32.74,16.76,0,-40525,0,0
2009-08-07 16:00:00,28.82,13.36,0,-339376.9,0,0
2009-08-10 16:00:00,28.44,13.57,21004.72,0,9590636,-9579703.1
2009-08-11 16:00:00,28.87,14.62,104850,0,0,0
2009-08-12 16:00:00,23.11,9.68,0,-494226,0,0
2009-08-13 16:00:00,24.68,11.05,137022,0,0,0
2009-08-14 16:00:00,21.19,7.85,0,-320130,0,0
2009-08-17 16:00:00,13.79,0.38,0,-747040,7390435,-6992659
2009-08-18 16:00:00,14.94,2.1,172670,0,0,0
2009-08-19 16:00:00,9.24,-2.79,0,-489277,0,0
2009-08-20 16:00:00,13.94,1.98,476396.8,0,0,0
2009-08-21 16:00:00,16.09,4.14,216297,0,0,0
2009-08-24 16:00:00,17.03,4.21,6862,0,8033506,-8388988
2009-08-25 16:00:00,12.69,0.04,0,-417169,0,0
2009-08-26 16:00:00,14.95,2.32,228249,0,0,0
2009-08-27 16:00:00,14.37,2.26,0,-6168,0,0
2009-08-28 16:00:00,10.4,-1.18,0,-343839,0,0
2009-08-31 16:00:00,2.56,-8.55,0,-736404,8765542,-8443977
2009-09-01 16:00:00,3.04,-9.64,0,-109337,0,0
2009-09-02 16:00:00,4.75,-8.84,80105,0,0,0
2009-09-03 16:00:00,10.59,-3.41,542840,0,0,0
2009-09-04 16:00:00,11.5,-2.38,102995,0,0,0
2009-09-07 16:00:00,12.48,-3.12,0,-73576,8172609,-8481001
2009-09-08 16:00:00,14.9,0.22,334058,0,0,0
2009-09-09 16:00:00,15.77,1.63,140887,0,0,0
2009-09-10 16:00:00,14.61,0.91,0,-72037,0,0
2009-09-11 16:00:00,17.34,2.8,188370,0,0,0
2009-09-14 16:00:00,19.34,4.32,151838,0,8267754,-8976139
