时间,基准收益,策略收益,当日盈利,当日亏损,当日买入,当日卖出
2009-06-01 16:00:00,3.57,1.11,111334,0,9662734,0
2009-06-02 16:00:00,3.82,1.34,22821,0,0,0
2009-06-03 16:00:00,6.51,3.13,178583,0,0,0
2009-06-04 16:00:00,7.03,3.62,48954,0,0,0
2009-06-05 16:00:00,6.51,2.91,0,-70813,0,0
2009-06-08 16:00:00,6.84,2.52,0,-39344,2900818,-2578450
2009-06-09 16:00:00,7.28,2.95,43715,0,0,0
2009-06-10 16:00:00,8.33,5.08,213198,0,0,0
2009-06-11 16:00:00,7.32,3.28,0,-180893,0,0
2009-06-12 16:00:00,5.31,1.42,0,-185347.8,0,0
2009-06-15 16:00:00,7.48,2.45,102475.8,0,5134226,-5103798
2009-06-16 16:00:00,7.3,2.67,22792.8,0,0,0
2009-06-17 16:00:00,9.09,4,132673,0,0,0
2009-06-18 16:00:00,10.79,5.58,157913,0,0,0
2009-06-19 16:00:00,11.61,5.92,33761,0,0,0
2009-06-22 16:00:00,11.7,5.97,4771.6,0,8225803,-8215402
2009-06-23 16:00:00,11.75,6.29,32538.4,0,0,0
2009-06-24 16:00:00,13.08,8.94,264890,0,0,0
2009-06-25 16:00:00,12.98,8.49,0,-44641,0,0
2009-06-26 16:00:00,13.36,8.59,9229.6,0,0,0
2009-06-29 16:00:00,15.23,9.76,117377,0,7630608,-8350387
2009-06-30 16:00:00,14.74,8.46,0,-129889,0,0
2009-07-01 16:00:00,17.33,9.93,146655,0,0,0
2009-07-02 16:00:00,18.94,10.25,32560,0,0,0
2009-07-03 16:00:00,20.56,10.91,65850.1,0,0,0
2009-07-06 16:00:00,22.29,12.24,133124.4,0,6018464,-5644299.5
2009-07-07 16:00:00,21.04,12.58,33307,0,0,0
2009-07-08 16:00:00,21.47,13.41,83489,0,0,0
2009-07-09 16:00:00,23.07,15.83,241822.6,0,0,0
2009-07-10 16:00:00,23.14,15.78,0,-4966,0,0
2009-07-13 16:00:00,21.79,14.48,0,-130419.96,6633050,-6645928
2009-07-14 16:00:00,25.19,16.63,215615,0,0,0
2009-07-15 16:00:00,26.58,18.87,223976,0,0,0
2009-07-16 16:00:00,26.87,18.05,0,-82373,0,0
2009-07-17 16:00:00,27.54,18.52,47114,0,0,0
2009-07-20 16:00:00,30.13,20.56,203990,0,9191469,-9211120
2009-07-21 16:00:00,28.27,18.11,0,-244406,0,0
2009-07-22 16:00:00,30.7,20.72,260552,0,0,0
2009-07-23 16:00:00,32.33,23.37,264813,0,0,0
2009-07-24 16:00:00,32.9,22.6,0,-76846.88,0,0
2009-07-27 16:00:00,35.65,24.87,226741,0,11462474,-11048678
2009-07-28 16:00:00,36.09,27.57,269838,0,0,0
2009-07-29 16:00:00,28.95,21.59,0,-597118,0,0
2009-07-30 16:00:00,31.71,24.43,283415,0,0,0
2009-07-31 16:00:00,35.33,28.03,359933,0,0,0
2009-08-03 16:00:00,37.23,29.87,183893,0,12383459,-12810055
2009-08-04 16:00:00,37.21,31.92,205366,0,0,0
2009-08-05 16:00:00,35.56,31.56,0,-35828,0,0
2009-08-06 16:00:00,32.74,29.39,0,-217064,0,0
2009-08-07 16:00:00,28.82,25.54,0,-385556,0,0
2009-08-10 16:00:00,28.44,25.7,16781,0,12268115,-11834554
2009-08-11 16:00:00,28.87,26.11,40634,0,0,0
2009-08-12 16:00:00,23.11,19.99,0,-611692,0,0
2009-08-13 16:00:00,24.68,20.53,53908,0,0,0
2009-08-14 16:00:00,21.19,16.11,0,-442488,0,0
2009-08-17 16:00:00,13.79,8.14,0,-796366,1628449,-1628676
2009-08-18 16:00:00,14.94,10.92,278119,0,0,0
2009-08-19 16:00:00,9.24,5.27,0,-565358,0,0
2009-08-20 16:00:00,13.94,9.19,391544,0,0,0
2009-08-21 16:00:00,16.09,11.31,212121,0,0,0
